category,food_id,food_name,calcium,calories,carbohydrate,cholesterol,fat,fiber,iron,measurement_description,metric_serving_amount,metric_serving_unit,monounsaturated_fat,number_of_units,polyunsaturated_fat,potassium,protein,saturated_fat,serving_description,serving_id,serving_url,sodium,sugar,vitamin_a,vitamin_c,,,,,,
vegetables,36800,"""Yellow Sweet Corn (Cream Style", No Salt Added," Canned)""",3,72,18.13,0,0.42,1.2,0.38,g,100,g,0.123,100,0.198,134,1.74,0.065,100 g,59531,https://www.fatsecret.com/calories-nutrition/usda/yellow-sweet-corn-(cream-style-no-salt-added-canned)?portionid=59531&portionamount=100.000,3,3.23,4,4.6,,,,
vegetables,36801,"""Yellow Sweet Corn (No Salt Added", Vacuum Packed," Canned)""",5,79,19.44,0,0.5,2,0.42,g,100,g,0.147,100,0.237,186,2.41,0.077,100 g,59532,https://www.fatsecret.com/calories-nutrition/usda/yellow-sweet-corn-(no-salt-added-vacuum-packed-canned)?portionid=59532&portionamount=100.000,3,3.56,4,8.1,,,,
vegetables,36802,"""Yellow Sweet Corn (Kernels Cut Off Cob", with Salt, Frozen, Drained, Cooked," Boiled)""",3,81,19.3,0,0.67,2.4,0.47,g,100,g,0.126,100,0.203,233,2.55,0.066,100 g,59533,https://www.fatsecret.com/calories-nutrition/usda/yellow-sweet-corn-(kernels-cut-off-cob-with-salt-frozen-drained-cooked-boiled)?portionid=59533&portionamount=100.000,245,3.07,10,3.5,
vegetables,6928,Creamed Mushrooms,59,79,6.9,3,4.89,1.4,0.58,g,100,g,1.969,100,1.336,141,2.75,1.291,100 g,55608,https://www.fatsecret.com/calories-nutrition/generic/mushrooms-creamed?portionid=55608&portionamount=100.000,393,3.16,40,0.4,,,,,,
vegetables,6927,Creamed Brussels Sprouts (from Frozen),67,89,8.7,3,4.96,2.4,0.41,g,100,g,1.99,100,1.388,230,3.73,1.319,100 g,55607,https://www.fatsecret.com/calories-nutrition/generic/brussels-sprouts-from-frozen-creamed?portionid=55607&portionamount=100.000,166,3.1,66,25.7,,,,,,
vegetables,6929,Cooked Peas with Mushroom Sauce (from Fresh),30,81,11.04,1,2.64,2.8,1.22,g,100,g,0.502,100,0.631,176,3.67,0.685,100 g,55609,https://www.fatsecret.com/calories-nutrition/generic/peas-cooked-from-fresh-with-mushroom-sauce?portionid=55609&portionamount=100.000,262,4.08,28,7.2,,,,,,
vegetables,6926,Creamed Brussels Sprouts,72,85,8.02,3,5.01,1.5,0.81,g,100,g,1.988,100,1.417,245,3.12,1.328,100 g,55606,https://www.fatsecret.com/calories-nutrition/generic/brussels-sprouts-creamed?portionid=55606&portionamount=100.000,169,2.9,62,34.8,,,,,,
vegetables,5850,Cooked Puerto Rican Yam,14,115,27.39,0,0.14,3.9,0.52,g,100,g,0.005,100,0.06,665,1.48,0.029,100 g,54530,https://www.fatsecret.com/calories-nutrition/generic/yam-puerto-rican-(name)-cooked?portionid=54530&portionamount=100.000,280,0.49,6,12,,,,,,
vegetables,5851,Puerto Rican Style Yam Buns (Bunuelos De Name),24,303,29.91,52,18.94,3.5,1.01,g,100,g,8.451,100,2.941,587,3.47,6.505,100 g,54531,https://www.fatsecret.com/calories-nutrition/generic/yam-buns-puerto-rican-style-(bunuelos-de-name)?portionid=54531&portionamount=100.000,465,0.8,62,10.1,,,,,,
vegetables,6930,Fried Breaded or Battered Yellow or Green Summer Squash,26,167,11.32,4,13.07,1.3,0.74,g,100,g,4.416,100,6.085,199,2.03,1.696,100 g,55610,https://www.fatsecret.com/calories-nutrition/generic/squash-summer-yellow-or-green-breaded-or-battered-fried?portionid=55610&portionamount=100.000,124,3.39,20,8.3,,,,,,
